Done	URL	Name	Filename	Host	From	To	
X	https://www.ahpra.gov.au/	Australian Health Practitioner Regulation Agency (AHPRA)	AustralianHealthPractitionerRegulationAgencyAHPRA	www.ahpra.gov.au	http://(?:www\.)www.ahpra.gov.au/	https://www.ahpra.gov.au/	
DUPE	https://www.aifs.gov.au/cfca/	Child Family Community Australia		www.aifs.gov.au	http://(?:www\.)www.aifs.gov.au/	https://www.aifs.gov.au/	
DUPE	https://www.aifs.gov.au/acssa/	Australian Centre for the Study of Sexual Assault (ACSSA)		www.aifs.gov.au	http://(?:www\.)www.aifs.gov.au/	https://www.aifs.gov.au/	
HTTP	https://www.aifs.gov.au/	Australian Institute of Family Studies (AIFS)		www.aifs.gov.au	http://(?:www\.)www.aifs.gov.au/	https://www.aifs.gov.au/	
HTTP	https://www.aihw.gov.au/	Australian Institute of Health and Welfare (AIHW)		www.aihw.gov.au	http://(?:www\.)www.aihw.gov.au/	https://www.aihw.gov.au/	
MIX	https://www.airforce.gov.au/	Royal Australian Air Force	RoyalAustralianAirForce	www.airforce.gov.au	http://(?:www\.)www.airforce.gov.au/	https://www.airforce.gov.au/	
MIX	https://www.ala.org.au/	Atlas of Living Australia	AtlasofLivingAustralia	www.ala.org.au	http://(?:www\.)www.ala.org.au/	https://www.ala.org.au/	
X	https://www.alrc.gov.au/	Australian Law Reform Commission (ALRC)	AustralianLawReformCommission	www.alrc.gov.au	http://(?:www\.)www.alrc.gov.au/	https://www.alrc.gov.au/	
X	https://www.amsa.gov.au/	Australian Maritime Safety Authority	AustralianMaritimeSafetyAuthority	www.amsa.gov.au	http://(?:www\.)www.amsa.gov.au/	https://www.amsa.gov.au/	
DUPE	https://www.anbg.gov.au/gardens	Australian National Botanic Gardens (ANBG)		www.anbg.gov.au	http://(?:www\.)www.anbg.gov.au/	https://www.anbg.gov.au/	
X	https://www.anbg.gov.au/	"Australian plants, botany and horticulture"	Australianplantsbotanyandhorticulture	www.anbg.gov.au	http://(?:www\.)www.anbg.gov.au/	https://www.anbg.gov.au/	
HTTP	https://www.ansto.gov.au/	Australian Nuclear Science and Technology Organisation	AustralianNuclearScienceandTechnologyOrganisation	www.ansto.gov.au	http://(?:www\.)www.ansto.gov.au/	https://www.ansto.gov.au/	
HTTP	https://www.aph.gov.au/	Parliament of Australia	ParliamentofAustralia	www.aph.gov.au	http://(?:www\.)www.aph.gov.au/	https://www.aph.gov.au/	
DUPE	https://www.aph.gov.au/About_Parliament/House_of_Representatives	Parliament of Australia. House of Representatives		www.aph.gov.au	http://(?:www\.)www.aph.gov.au/	https://www.aph.gov.au/	
DUPE	https://www.aph.gov.au/About_Parliament/Senate	Parliament of Australia. Senate		www.aph.gov.au	http://(?:www\.)www.aph.gov.au/	https://www.aph.gov.au/	
DUPE	https://www.aph.gov.au/News_and_Events/Watch_Parliament	Watch parliament		www.aph.gov.au	http://(?:www\.)www.aph.gov.au/	https://www.aph.gov.au/	
DUPE	https://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_Parliamentary_Services	Department of Parliamentary Services		www.aph.gov.au	http://(?:www\.)www.aph.gov.au/	https://www.aph.gov.au/	
DUPE	https://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_the_House_of_Representatives	Department of the House of Representatives		www.aph.gov.au	http://(?:www\.)www.aph.gov.au/	https://www.aph.gov.au/	
DUPE	https://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_the_Senate	Department of the Senate		www.aph.gov.au	http://(?:www\.)www.aph.gov.au/	https://www.aph.gov.au/	
404	https://www.apra.gov.au/	Australian Prudential Regulation Authority	AustralianPrudentialRegulationAuthority	www.apra.gov.au	http://(?:www\.)www.apra.gov.au/	https://www.apra.gov.au/	
X	https://www.apsjobs.gov.au/	APSjobs	APSjobs	www.apsjobs.gov.au	http://(?:www\.)www.apsjobs.gov.au/	https://www.apsjobs.gov.au/	
X	https://www.asada.gov.au/	Australian Sports Anti-Doping Authority (ASADA)	ASADA	www.asada.gov.au	http://(?:www\.)www.asada.gov.au/	https://www.asada.gov.au/	
X	https://www.asic.gov.au/	Australian Securities and Investments Commission	ASIC	www.asic.gov.au	http://(?:www\.)www.asic.gov.au/	https://www.asic.gov.au/	
MIX	https://www.asio.gov.au/	Australian Security Intelligence Organisation (ASIO)	AustralianSecurityIntelligenceOrganisation	www.asio.gov.au	http://(?:www\.)www.asio.gov.au/	https://www.asio.gov.au/	
X	https://www.aspi.org.au/	Australian Strategic Policy Institute (ASPI)	AustralianStrategicPolicyInstitute	www.aspi.org.au	http://(?:www\.)www.aspi.org.au/	https://www.aspi.org.au/	
X	https://www.atnf.csiro.au/	Australia Telescope National Facility	AustraliaTelescopeNationalFacility	www.atnf.csiro.au	http://(?:www\.)www.atnf.csiro.au/	https://www.atnf.csiro.au/	
X	https://www.ato.gov.au/	Australian Taxation Office (ATO)	AustralianTaxationOffice	www.ato.gov.au	http://(?:www\.)www.ato.gov.au/	https://www.ato.gov.au/	
X	https://www.atsb.gov.au/	Australian Transport Safety Bureau	AustralianTransportSafetyBureau	www.atsb.gov.au	http://(?:www\.)www.atsb.gov.au/	https://www.atsb.gov.au/	
X	https://www.ausgovboards.gov.au/	Australian Government Boards	AustralianGovernmentBoards	www.ausgovboards.gov.au	http://(?:www\.)www.ausgovboards.gov.au/	https://www.ausgovboards.gov.au/	
DUPE	https://www.ausport.gov.au/ais	Australian Institute of Sport (AIS)		www.ausport.gov.au	http://(?:www\.)www.ausport.gov.au/	https://www.ausport.gov.au/	
MIX	https://www.ausport.gov.au/	Australian Sports Commission (ASC)	AustralianSportsCommission	www.ausport.gov.au	http://(?:www\.)www.ausport.gov.au/	https://www.ausport.gov.au/	
DUPE	https://www.austrade.gov.au/Austrade-BCA-Home/	Business Club Australia		www.austrade.gov.au	http://(?:www\.)www.austrade.gov.au/	https://www.austrade.gov.au/	
X	https://www.austrade.gov.au/	Austrade (Australian Trade Commission)	Austrade	www.austrade.gov.au	http://(?:www\.)www.austrade.gov.au/	https://www.austrade.gov.au/	
DUPE	https://www.austrade.gov.au/Buy	Australian Trade Commission - Doing business with Australia		www.austrade.gov.au	http://(?:www\.)www.austrade.gov.au/	https://www.austrade.gov.au/	
X	https://www.australianclinicaltrials.gov.au/	Australian Clinical Trials	AustralianClinicalTrials	www.australianclinicaltrials.gov.au	http://(?:www\.)www.australianclinicaltrials.gov.au/	https://www.australianclinicaltrials.gov.au/	
X	https://www.avo.gov.au/	Australian Valuation Office (AVO)	AustralianValuationOffice	www.avo.gov.au	http://(?:www\.)www.avo.gov.au/	https://www.avo.gov.au/	
X	https://www.awm.gov.au/	Australian War Memorial (AWM)	AustralianWarMemorial	www.awm.gov.au	http://(?:www\.)www.awm.gov.au/	https://www.awm.gov.au/	
HTTP	https://www.beyondblue.org.au/	Beyondblue: the national depression initiative		www.beyondblue.org.au	http://(?:www\.)www.beyondblue.org.au/	https://www.beyondblue.org.au/	
X	https://www.bitre.gov.au/	"Bureau of Infrastructure, Transport and Regional Economics"	BureauofInfrastructureTransportandRegionalEconomics	www.bitre.gov.au	http://(?:www\.)www.bitre.gov.au/	https://www.bitre.gov.au/	
X	https://www.bundanon.com.au/	Bundanon Trust	BundanonTrust	www.bundanon.com.au	http://(?:www\.)www.bundanon.com.au/	https://www.bundanon.com.au/	
X	https://www.cadetnet.gov.au/	Cadetnet (Australian Defence Force Cadets)	CadetnetAustralianDefenceForceCadets	www.cadetnet.gov.au	http://(?:www\.)www.cadetnet.gov.au/	https://www.cadetnet.gov.au/	
MIX	https://www.cert.gov.au/	CERT Australia	CERTAustralia	www.cert.gov.au	http://(?:www\.)www.cert.gov.au/	https://www.cert.gov.au/	
X	https://www.cgc.gov.au/	Commonwealth Grants Commission (CGC)	CommonwealthGrantsCommission	www.cgc.gov.au	http://(?:www\.)www.cgc.gov.au/	https://www.cgc.gov.au/	
X	https://www.cleanenergyfinancecorp.com.au/	Clean Energy Finance Corporation	CleanEnergyFinanceCorporation	www.cleanenergyfinancecorp.com.au	http://(?:www\.)www.cleanenergyfinancecorp.com.au/	https://www.cleanenergyfinancecorp.com.au/	
X	https://www.coag.gov.au/	Council of Australian Governments (COAG)	CouncilofAustralianGovernments	www.coag.gov.au	http://(?:www\.)www.coag.gov.au/	https://www.coag.gov.au/	
X	https://www.comcourts.gov.au/	Commonwealth Courts Portal	CommonwealthCourtsPortal	www.comcourts.gov.au	http://(?:www\.)www.comcourts.gov.au/	https://www.comcourts.gov.au/	
X	https://www.comsuper.gov.au/	ComSuper	ComSuper	www.comsuper.gov.au	http://(?:www\.)www.comsuper.gov.au/	https://www.comsuper.gov.au/	
X	https://www.creativepartnershipsaustralia.org.au/	Creative Partnerships Australia	CreativePartnershipsAustralia	www.creativepartnershipsaustralia.org.au	http://(?:www\.)www.creativepartnershipsaustralia.org.au/	https://www.creativepartnershipsaustralia.org.au/	
X	https://www.crimecommission.gov.au/	Australian Crime Commission (ACC)	AustralianCrimeCommission	www.crimecommission.gov.au	http://(?:www\.)www.crimecommission.gov.au/	https://www.crimecommission.gov.au/	
X	https://www.csc.gov.au/	Commonwealth Superannuation Corporation (CSC)	CommonwealthSuperannuationCorporationCSC	www.csc.gov.au	http://(?:www\.)www.csc.gov.au/	https://www.csc.gov.au/	
HTTP	https://www.csiro.au/org/ET	CSIRO Energy Technology		www.csiro.au	http://(?:www\.)www.csiro.au/	https://www.csiro.au/	
HTTP	https://www.csiro.au/	CSIRO		www.csiro.au	http://(?:www\.)www.csiro.au/	https://www.csiro.au/	
X	https://www.css.gov.au/	Commonwealth Superannuation Scheme (CSS)	CommonwealthSuperannuationScheme	www.css.gov.au	http://(?:www\.)www.css.gov.au/	https://www.css.gov.au/	
HTTP	https://www.defencejobs.gov.au/	Defence Jobs	DefenceJobs	www.defencejobs.gov.au	http://(?:www\.)www.defencejobs.gov.au/	https://www.defencejobs.gov.au/	
404	https://www.defencereservessupport.gov.au/	Defence Reserves Support	DefenceReservesSupport	www.defencereservessupport.gov.au	http://(?:www\.)www.defencereservessupport.gov.au/	https://www.defencereservessupport.gov.au/	
X	https://www.dfat.gov.au/	Department of Foreign Affairs and Trade (DFAT)	DepartmentofForeignAffairsandTrade	www.dfat.gov.au	http://(?:www\.)www.dfat.gov.au/	https://www.dfat.gov.au/	
X	https://www.dfrdb.gov.au/	Defence Force Retirement and Death Benefits Scheme (DFRDB)	DefenceForceRetirementandDeathBenefitsSchemeDFRDB	www.dfrdb.gov.au	http://(?:www\.)www.dfrdb.gov.au/	https://www.dfrdb.gov.au/	
X	https://www.dha.gov.au/	Defence Housing Australia (DHA)	DefenceHousingAustralia	www.dha.gov.au	http://(?:www\.)www.dha.gov.au/	https://www.dha.gov.au/	
X	https://www.donotcall.gov.au/	Do Not Call Register	DoNotCallRegister	www.donotcall.gov.au	http://(?:www\.)www.donotcall.gov.au/	https://www.donotcall.gov.au/	
X	https://www.dpmc.gov.au/	Department of the Prime Minister and Cabinet	DPMC	www.dpmc.gov.au	http://(?:www\.)www.dpmc.gov.au/	https://www.dpmc.gov.au/	
DUPE	https://www.dpmc.gov.au/ministers/index.cfm	Minister for Indigenous Affairs		www.dpmc.gov.au	http://(?:www\.)www.dpmc.gov.au/	https://www.dpmc.gov.au/	
HTTP	https://www.dsd.gov.au/	Defence Signals Directorate	DefenceSignalsDirectorate	www.dsd.gov.au	http://(?:www\.)www.dsd.gov.au/	https://www.dsd.gov.au/	
X	https://www.education.gov.au/	Department of Education	DepartmentofEducation	www.education.gov.au	http://(?:www\.)www.education.gov.au/	https://www.education.gov.au/	
X	https://www.em.gov.au/	Australian Emergency Management	AustralianEmergencyManagement	www.em.gov.au	http://(?:www\.)www.em.gov.au/	https://www.em.gov.au/	
X	https://www.employment.gov.au/	Department of Employment	DepartmentofEmployment	www.employment.gov.au	http://((?:www|ministers)\.)?employment.gov.au/	https://$1employment.gov.au/	
X	https://www.energymadeeasy.gov.au/	Energy Made Easy	EnergyMadeEasy	www.energymadeeasy.gov.au	http://(?:www\.)www.energymadeeasy.gov.au/	https://www.energymadeeasy.gov.au/	
X	https://www.exportawards.gov.au/	Australian Export Awards	AustralianExportAwards	www.exportawards.gov.au	http://(?:www\.)www.exportawards.gov.au/	https://www.exportawards.gov.au/	
X	https://www.fairwork.gov.au/	Fair Work Ombudsman	FairWorkOmbudsman	www.fairwork.gov.au	http://(?:www\.)www.fairwork.gov.au/	https://www.fairwork.gov.au/	
403	https://www.firsthome.gov.au/	First Home Owner Grant		www.firsthome.gov.au	http://(?:www\.)www.firsthome.gov.au/	https://www.firsthome.gov.au/	
403	https://www.frdc.com.au/	Fisheries Research and Development Corporation		www.frdc.com.au	http://(?:www\.)www.frdc.com.au/	https://www.frdc.com.au/	
X	https://www.fwc.gov.au/	Fair Work Commission	FairWorkCommission	www.fwc.gov.au	http://(?:www\.)www.fwc.gov.au/	https://www.fwc.gov.au/	
HTTP	https://www.ga.gov.au/	Geoscience Australia	GeoscienceAustralia	www.ga.gov.au	http://(?:www\.)www.ga.gov.au/	https://www.ga.gov.au/	
404	https://www.gbrmpa.gov.au/	Great Barrier Reef Marine Park Authority		www.gbrmpa.gov.au	http://(?:www\.)www.gbrmpa.gov.au/	https://www.gbrmpa.gov.au/	
X	https://www.gg.gov.au/	Governor-General of the Commonwealth of Australia	Governor-GeneraloftheCommonwealthofAustralia	www.gg.gov.au	http://(?:www\.)www.gg.gov.au/	https://www.gg.gov.au/	
X	https://www.gitc.finance.gov.au/	Commonwealth GITC	CommonwealthGITC	www.gitc.finance.gov.au	http://(?:www\.)www.gitc.finance.gov.au/	https://www.gitc.finance.gov.au/	
X	https://www.govdex.gov.au/	GovDex	GovDex	www.govdex.gov.au	http://(?:www\.)www.govdex.gov.au/	https://www.govdex.gov.au/	
X	https://www.grdc.com.au/	Grains Research and Development Corporation	GrainsResearchandDevelopmentCorporation	www.grdc.com.au	http://(?:www\.)www.grdc.com.au/	https://www.grdc.com.au/	
X	https://www.greenvehicleguide.gov.au/	Green Vehicle Guide	GreenVehicleGuide	www.greenvehicleguide.gov.au	http://(?:www\.)www.greenvehicleguide.gov.au/	https://www.greenvehicleguide.gov.au/	
X	https://www.healthdirect.gov.au/	healthdirect Australia	healthdirectAustralia	www.healthdirect.gov.au	http://(?:www\.)www.healthdirect.gov.au/	https://www.healthdirect.gov.au/	
X	https://www.humanrights.gov.au/	Australian Human Rights Commission	AustralianHumanRightsCommission	www.humanrights.gov.au	http://(?:www\.)www.humanrights.gov.au/	https://www.humanrights.gov.au/	
DUPE	https://www.immi.gov.au/Work/Pages/SkillSelect/SkillSelect.aspx	SkillSelect		www.immi.gov.au	http://(?:www\.)www.immi.gov.au/	https://www.immi.gov.au/	
NOTE	https://www.immi.gov.au/	Department of Immigration and Border Protection	DepartmentofImmigrationandBorderProtection	www.immi.gov.au	http://(?:www\.)www.immi.gov.au/	https://www.immi.gov.au/	Just a blocked font
X	https://www.infrastructure.gov.au/	Department of Infrastructure and Regional Development	DepartmentofInfrastructureandRegionalDevelopment	www.infrastructure.gov.au	http://(?:www\.)www.infrastructure.gov.au/	https://www.infrastructure.gov.au/	
X	https://www.itsanhonour.gov.au/	It's an Honour	ItsAnHonour	www.itsanhonour.gov.au	http://(?:www\.)www.itsanhonour.gov.au/	https://www.itsanhonour.gov.au/	
X	https://www.livecorp.com.au/	LiveCorp	LiveCorp	www.livecorp.com.au	http://(?:www\.)www.livecorp.com.au/	https://www.livecorp.com.au/	
MIX	https://www.livingsafetogether.gov.au/pages/home.aspx	Living safe together		www.livingsafetogether.gov.au	http://(?:www\.)www.livingsafetogether.gov.au/	https://www.livingsafetogether.gov.au/	
X	https://www.mara.gov.au/	Office of the Migration Agents Registration Authority (MARA)	OfficeoftheMigrationAgentsRegistrationAuthority	www.mara.gov.au	http://(?:www\.)www.mara.gov.au/	https://www.mara.gov.au/	
HTTP	https://www.medibank.com.au/	Medibank Private	MedibankPrivate	www.medibank.com.au	http://(?:www\.)www.medibank.com.au/	https://www.medibank.com.au/	
X	https://www.medibankhealth.com.au/	Medibank Health Solutions	MedibankHealthSolutions	www.medibankhealth.com.au	http://(?:www\.)www.medibankhealth.com.au/	https://www.medibankhealth.com.au/	
